Base ID,Name,Pre-Type,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Champion Tag,Other Tags,Other
OGN-001,Blazing Scorcher,,Unit,Fury,Common,5,0,5,[Accelerate],,"Noxus, Dragon",
OGN-002,Brazen Buccaneer,,Unit,Fury,Common,6,0,5,"As you play me, you may discard a card as an additional cost. If you do, reduce my cost by [2].",,"Bilgewater, Pirate",
OGN-003,Chemtech Enforcer,,Unit,Fury,Common,2,0,2,"[Assault 2]
When you play me, discard 1.",,Zaun,
OGN-004,Cleave,,Spell,Fury,Common,1,0,,"[Action]
Give a unit [Assault 3] this turn.",,,
OGN-005,Disintegrate,,Spell,Fury,Common,4,0,,"[Action]
Deal 3 to a unit at a battlefield. If this kills it, do this: draw 1.",,,
OGN-006,Flame Chompers,,Unit,Fury,Common,3,0,3,"When you discard me, you may pay [C] to play me.",,Zaun,
OGN-007,Fury Rune,,Rune,Fury,Common,,,,,,,
OGN-008,Get Excited!,,Spell,Fury,Common,2,1,,"[Action]
Discard 1. Deal its Energy cost as damage to a unit at a battlefield.",,,
OGN-009,Hextech Ray,,Spell,Fury,Common,1,1,,"[Action]
Deal 3 to a unit at a battlefield.",,,
OGN-010,Legion Rearguard,,Unit,Fury,Common,2,0,2,[Accelerate],,"Noxus, Trifarian",
OGN-011,Magma Wurm,,Unit,Fury,Common,8,1,8,Other friendly units enter ready.,,Freljord,
OGN-012,Noxus Hopeful,,Unit,Fury,Common,4,0,4,[Legion] — I cost [2] less.,,"Noxus, Trifarian",
OGN-013,Pouty Poro,,Unit,Fury,Common,2,0,,[Deflect],,Poro,
OGN-014,Skysplitter,,Spell,Fury,Common,8,1,,"[Action]
This spell's Energy cost is reduced by the highest Might among units you control. Deal 5 to a unit at a battlefield.",,,
OGN-015,Captain Farron,,Unit,Fury,Uncommon,4,1,5,Other friendly units here have [Assault].,,"Noxus, Trifarian",
OGN-016,Dangerous Duo,,Unit,Fury,Uncommon,3,0,3,"[Legion] — When you play me, give a unit +2 [M] this turn.",,"Bandle City, Mech",
OGN-017,Iron Ballista,,Gear,Fury,Uncommon,3,0,,"This enters exhausted.
[E]: Deal 2 to a unit at a battlefield.",,,
OGN-018,Noxus Saboteur,,Unit,Fury,Uncommon,3,0,3,Your opponents' [Hidden] cards can't be revealed here.,,"Noxus, Trifarian",
OGN-019,Raging Soul,,Unit,Fury,Uncommon,4,0,4,"If you've discarded a card this turn, I have [Assault] and [Ganking].",,"Shadow Isles, Spirit",
OGN-020,Scrapyard Champion,,Unit,Fury,Uncommon,5,1,5,"[Legion] — When you play me, discard 2, then draw 2.",,"Bandle City, Mech",
OGN-021,Sun Disc,,Gear,Fury,Uncommon,2,1,,[E]: [Legion] — The next unit you play this turn enters ready.,,,
OGN-022,Thermo Beam,,Spell,Fury,Uncommon,5,2,,"[Action]
Kill all gear.",,,
OGN-023,Unlicensed Armory,,Gear,Fury,Uncommon,2,0,,"Discard 1, [E]: Choose a friendly unit. The next time it would die this turn, you may pay [C] to heal it, exhaust it, and recall it instead.",,,
OGN-024,Void Seeker,,Spell,Fury,Uncommon,3,1,,"[Action]
Deal 4 ot a unit at a battlefield. Draw 1.",,,
OGN-025,Blind Fury,,Spell,Fury,Rare,4,2,,"[Action]
Each opponent reveals the top card of their Main Deck. Choose one and banish it, then play it, ignoring its cost. Then recycle the rest.",,,
OGN-026,Brynhir Thundersong,,Unit,Fury,Rare,6,0,5,"When you play me, opponents can't play cards this turn.",,Freljord,
OGN-027,"Darius, Trifarian",Champion,Unit,Fury,Rare,5,1,5,"When you play your second card in a turn, give me +2 [M] this turn and ready me.",Darius,"Noxus, Trifarian",
OGN-028,"Draven, Showboat",Champion,Unit,Fury,Rare,5,1,3,My Might is increased by your points.,Darius,Noxus,
OGN-029,Falling Star,,Spell,Fury,Rare,2,2,,"Do this twice:
Deal 3 to a unit.",,,
OGN-030,"Jinx, Demolitionist",Champion,Unit,Fury,Rare,3,1,4,"[Accelerate]
[Assault 2]
When you play me, discard 2.",Jinx,Zaun,
OGN-031,Raging Firebrand,,Unit,Fury,Rare,6,1,4,"When you play me, the next spell you play this turn costs [5] less.",,"Mount Targon, Dragon",
OGN-032,Ravenborn Tome,,Gear,Fury,Rare,3,0,,[E]: The next spell you play this turn deals 1 Bonus Damage.,,,
OGN-033,Shakedown,,Spell,Fury,Rare,2,1,,"[Reaction]
Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.",,,
OGN-034,"Tryndamere, Barbarian",Champion,Unit,Fury,Rare,7,2,8,"When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.",Tryndamere,Freljord,
OGN-035,"Vayne, Hunter",Champion,Unit,Fury,Rare,4,1,2,"[Assault 3]
If an opponent controls a battlefield, I enter ready.
When I conquer, you may pay [1] to return me to my owner's hand.",Vayne,Demacia,
OGN-036,"Vi, Destructive",Champion,Unit,Fury,Rare,2,1,3,"[Ganking]
Recycle 1 from your trash: Give me +1 [M] this turn.",Vi,Piltover,
OGN-037,Immortal Phoenix,,Unit,Fury,Epic,3,1,3,"[Assault 2]
When you kill a unit with a spell, you may pay [1][C] to play me from your trash.",,Spirit,
OGN-038,Kadregrin the Infernal,,Unit,Fury,Epic,9,2,9,"When you play me, draw 1 for each of your [Mighty] units.",,"Demacia, Dragon",
