ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Errata-ed
OGN-001,Blazing Scorcher,,Unit,Fury,Common,5,0,5,[Accelerate],,,"Noxus, Dragon",,FALSE
OGN-002,Brazen Buccaneer,,Unit,Fury,Common,6,0,5,"As you play me, you may discard a card as an additional cost. If you do, reduce my cost by [2].",,,"Bilgewater, Pirate","""They called my crew 'scurvy dogs,' and I took that personally.""",FALSE
OGN-003,Chemtech Enforcer,,Unit,Fury,Common,2,0,2,"[Assault 2]
When you play me, discard 1.",,,Zaun,"""Knock, knock.""",FALSE
OGN-004,Cleave,,Spell,Fury,Common,1,0,,"[Action]
Give a unit [Assault 3] this turn.",,,,Nobody ever won a won without attacking.,FALSE
OGN-005,Disintegrate,,Spell,Fury,Common,4,0,,"[Action]
Deal 3 to a unit at a battlefield. If this kills it, do this: draw 1.",,,,"""Ashes, ashes, they all fall down.""
—Annie",TRUE
OGN-006,Flame Chompers,,Unit,Fury,Common,3,0,3,"When you discard me, you may pay [C] to play me.",,,Zaun,"""GET 'EM, CHOMPIES!""
—Jinx",FALSE
OGN-007,Fury Rune,,Rune,Fury,Common,,,,,,,,,FALSE
OGN-008,Get Excited!,,Spell,Fury,Common,2,1,,"[Action]
Discard 1. Deal its Energy cost as damage to a unit at a battlefield.",,,,"""Everybody, panic!""
—Jinx",FALSE
OGN-009,Hextech Ray,,Spell,Fury,Common,1,1,,"[Action]
Deal 3 to a unit at a battlefield.",,,,"""Destroy. Then Improve.""
—Viktor",FALSE
OGN-010,Legion Rearguard,,Unit,Fury,Common,2,0,2,[Accelerate],,,"Noxus, Trifarian",The last line of offense.,FALSE
OGN-011,Magma Wurm,,Unit,Fury,Common,8,1,8,Other friendly units enter ready.,,,Freljord,A river of flame in an ocean of ice.,FALSE
OGN-012,Noxus Hopeful,,Unit,Fury,Common,4,0,4,[Legion] — I cost [2] less.,,,"Noxus, Trifarian","First to the front, first to glory.",FALSE
OGN-013,Pouty Poro,,Unit,Fury,Common,2,0,,[Deflect],,,Poro,"""Braum takes medicine too, see?""
—Braum",FALSE
OGN-014,Sky Splitter,,Spell,Fury,Common,8,1,,"[Action]
This spell's Energy cost is reduced by the highest Might among units you control. Deal 5 to a unit at a battlefield.",,,,"""Puny mortals!"" —Volibear",FALSE
OGN-015,Captain Farron,,Unit,Fury,Uncommon,4,1,5,Other friendly units here have [Assault].,,,"Noxus, Trifarian","""Forward! Always!""",FALSE
OGN-016,Dangerous Duo,,Unit,Fury,Uncommon,3,0,3,"[Legion] — When you play me, give a unit +2 [M] this turn.",,,"Bandle City, Mech",,FALSE
OGN-017,Iron Ballista,,Gear,Fury,Uncommon,3,0,,"This enters exhausted.
[E]: Deal 2 to a unit at a battlefield.",,,,"""There's no way they can hit us at this dist—AUGH!""",FALSE
OGN-018,Noxus Saboteur,,Unit,Fury,Uncommon,3,0,3,Your opponents' [Hidden] cards can't be revealed here.,,,"Noxus, Trifarian",Nothing fails like a perfect plan.,FALSE
OGN-019,Raging Soul,,Unit,Fury,Uncommon,4,0,4,"If you've discarded a card this turn, I have [Assault] and [Ganking].",,,"Shadow Isles, Spirit",,FALSE
OGN-020,Scrapyard Champion,,Unit,Fury,Uncommon,5,1,5,"[Legion] — When you play me, discard 2, then draw 2.",,,"Bandle City, Mech","""Last one standing"" is a bit subjective.",FALSE
OGN-021,Sun Disc,,Gear,Fury,Uncommon,2,1,,[E]: [Legion] — The next unit you play this turn enters ready.,,,,"""Those who follow me follow destiny!""
—Azir",FALSE
