ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Has Errata
VEN-001,Baccai Sandspinner,,Unit,Fury,Common,6,,6,"[Empower] [5]. This ability costs [3] less if you control 4 or fewer runes.
[Empowered][>] I have [Deflect] and [Assault 2].",,,Shurima,,FALSE
VEN-002,Blade Twirler,,Unit,Fury,Common,4,,4,"The first time I move each turn, choose a player. They [Burn 1].",,,"Ionia, Yordle","""Tails. I win. Heads you lose.""",FALSE
VEN-003,Brittle Steel,,Spell,Fury,Common,2,1,,"Kill a gear.
[Flow] [4][R]",,,,"Cold is older than stone, older than steel. And when these are gone, the cold will remain.",FALSE
VEN-004,Dune Surfer,,Unit,Fury,Common,3,,3,You ignore [Tank] while assigning combat damage here.,,,Shurima,"""Look at this rug! How can one child track this much sand?!""",FALSE
VEN-005,Forsaken Baccai,,Unit,Fury,Common,2,,2,"If you control fewer runes than an opponent at the start of your Beginning Phase, give me +1[M] this turn.",,,Shurima,"Baccai lurk in the shadow of the failed Sun Disc at Nerimazeth, plotting their return to glory.",FALSE
VEN-006,Oasis Raider,,Unit,Fury,Common,4,,4,"If you control fewer runes than an opponent at the start of your Beginning Phase, give me +2[M] and [Ganking] this turn.",,,Shurima,"""A simple mistake! It's actually more closely related to a gharial—AUGH!"" —Surprisingly common last words",FALSE
VEN-007,Punching Poro,,Unit,Fury,Common,2,,2,"[Empower] — Discard 1
[Empowered][>] I have +1[M].",,,"Ionia, Poro",Soft fur. Hard fists.,FALSE
VEN-008,Ruthless Strike,,Spell,Fury,Common,3,,,"[Action]
As an additional cost to play this, you may discard 1.
Deal 3 to a unit at a battlefield. If you paid the additional cost, deal 5 to it instead.",,,,"If you choose to destroy, hold nothing back.",FALSE
VEN-009,Baccai Reaper,,Unit,Fury,Uncommon,3,1,4,"When I attack, you may pay [R] to give me [Assault 2] this turn.",,,Shurima,The Ascended god-warriors of Shurima pity their lesser cousins.,FALSE
VEN-010,Consuming Curse,,Spell,Fury,Uncommon,2,,,"[Action]
Deal 2 to a unit at a battlefield. This deals 1 Bonus Damage for each card with this name in your trash.",,,,"""WHAT WAS THAT?!""
—Common last words",FALSE
VEN-011,Pendulum Blade,,Gear,Fury,Uncommon,3,,,[Equip] [R],"When I move to a battlefield, give me +2[M] this turn. [M]+1",,Equipment,,FALSE
VEN-012,Perfect Execution,,Spell,Fury,Uncommon,3,1,,"Ready a unit and give it [Assault 3] this turn.
[Flow] [3][R]",,,,Anything less is just killing.,FALSE
VEN-013,Shadow Assassin,,Unit,Fury,Uncommon,5,,5,I enter ready if you have a card with my name in your trash.,,,Ionia,"When the sun rises, all memories of her will fade.",FALSE
VEN-014,Shadow Fiend,,Unit,Fury,Uncommon,2,,2,"[Empower] [2][R]
[Empowered][>] I have [Assault 3].",,,Ionia,It justifies every fear of the dark.,FALSE
VEN-015,Decree of Rage,,Spell,Fury,Rare,1,1,,"[Action]
This can't be countered.
Deal 4 to an enemy Calm unit.",,,,Peace is paralysis. Get moving.,FALSE
VEN-016,Eclipse Dragon,,Unit,Fury,Rare,8,,8,"[Accelerate]
When I move, if you control 4 or fewer runes, draw 1.",,,"Mount Targon, Dragon",Power enough to command the sun to wait.,FALSE
VEN-017,"Morgana, Vindictive",Champion,Unit,Fury,Rare,5,1,5,"[Ambush]
When you play me, deal damage to a unit equal to the damage marked on it.",,Morgana,Demacia,"""Some call me evil. Shall I prove them right?""",FALSE
VEN-018,Rage Amplifier,,Gear,Fury,Rare,4,1,,"[Empower] [6][R]
Your units have +1[M]. If I'm [Empowered], they have +2[M] instead.",,,,Irritation and incitement are a decibel apart.,FALSE
VEN-019,"Renekton, Rage Fueled",Champion,Unit,Fury,Rare,6,,6,"[Accelerate]
When I attack, if you control 4 or fewer runes, deal 2 to all enemy units here.",,Renekton,Shurima,"""There is no retreat.""",FALSE
VEN-020,Twilight Reveler,,Unit,Fury,Rare,3,,3,"When I attack, ready another friendly unit.",,,Ionia,There's always time for one last dance.,FALSE
VEN-021,"Akali, Deadly Weapon",Champion,Unit,Fury,Epic,3,,3,"[Empower] [2][R]
When I move, you may deal 1 to a unit at a battlefield I moved to or from. If I'm [Empowered], deal 2 instead.
[Empowered][>] I have +1[M].",,Akali,Ionia,,FALSE
VEN-022,Endless Riches,,Gear,Fury,Epic,5,1,,"When you play this, banish your hand and trash, then [Burn 7].
Skip your Draw Phase.
You may play cards from your trash.
If a card would go to your trash from anywhere other than your Main Deck, banish it instead.",,,,,FALSE
