ID,Base ID,TTS ID
OGN-007a,OGN-007,OGN-007-2
OGN-027a,OGN-027,OGN-027-2
OGN-030a,OGN-030,OGN-030-2
OGN-039a,OGN-039,OGN-039-2
OGN-041a,OGN-041,OGN-041-2
OGN-042a,OGN-042,OGN-042-2
OGN-066a,OGN-066,OGN-066-2
OGN-076a,OGN-076,OGN-076-2
OGN-078a,OGN-078,OGN-078-2
OGN-079a,OGN-079,OGN-079-2
OGN-089a,OGN-089,OGN-089-2
OGN-112a,OGN-112,OGN-112-2
OGN-117a,OGN-117,OGN-117-2
OGN-119a,OGN-119,OGN-119-2
OGN-121a,OGN-121,OGN-121-2
OGN-126a,OGN-126,OGN-126-2
OGN-151a,OGN-151,OGN-151-2
OGN-158a,OGN-158,OGN-158-2
OGN-162a,OGN-162,OGN-162-2
OGN-164a,OGN-164,OGN-164-2
OGN-166a,OGN-166,OGN-166-2
OGN-193a,OGN-193,OGN-193-2
OGN-197a,OGN-197,OGN-197-2
OGN-202a,OGN-202,OGN-202-2
OGN-205a,OGN-205,OGN-205-2
OGN-214a,OGN-214,OGN-214-2
OGN-238a,OGN-238,OGN-238-2
OGN-240a,OGN-240,OGN-240-2
OGN-243a,OGN-243,OGN-243-2
OGN-246a,OGN-246,OGN-246-2
OGN-299,OGN-247,OGN-247-2
OGN-299*,OGN-247,OGN-247-3
OGN-300,OGN-249,OGN-249-2
OGN-300*,OGN-249,OGN-249-3
OGN-301,OGN-251,OGN-251-2
OGN-301*,OGN-251,OGN-251-3
OGN-302,OGN-253,OGN-253-2
OGN-302*,OGN-253,OGN-253-3
OGN-303,OGN-255,OGN-255-2
OGN-303*,OGN-255,OGN-255-3
OGN-304,OGN-257,OGN-257-2
OGN-304*,OGN-257,OGN-257-3
OGN-305,OGN-259,OGN-259-2
OGN-305*,OGN-259,OGN-259-3
OGN-306,OGN-261,OGN-261-2
OGN-306*,OGN-261,OGN-261-3
OGN-307,OGN-263,OGN-263-2
OGN-307*,OGN-263,OGN-263-3
OGN-308,OGN-265,OGN-265-2
OGN-308*,OGN-265,OGN-265-3
OGN-309,OGN-267,OGN-267-2
OGN-309*,OGN-267,OGN-267-3
OGN-310,OGN-269,OGN-269-2
OGN-310*,OGN-269,OGN-269-3
