ID,Base ID,TTS ID,Rarity,Altered Flavor Text,Base Card Name,Notes (assume overnumbered)
OGN-007a,OGN-007,OGN-007-2,Showcase,,Fury Rune,
OGN-007b,OGN-007,,Showcase,,Fury Rune,Nexus Night
OGN-027a,OGN-027,OGN-027-2,Showcase,,"Darius, Trifarian",
OGN-030a,OGN-030,OGN-030-2,Showcase,,"Jinx, Demolitionist",
OGN-039a,OGN-039,OGN-039-2,Showcase,,"Kai'Sa, Survivor",
OGN-041a,OGN-041,OGN-041-2,Showcase,,"Volibear, Furious",
OGN-042a,OGN-042,OGN-042-2,Showcase,,Calm Rune,
OGN-042b,OGN-042,,Showcase,,Calm Rune,Nexus Night
OGN-066a,OGN-066,OGN-066-2,Showcase,,"Ahri, Alluring",
OGN-076a,OGN-076,OGN-076-2,Showcase,,"Yasuo, Remorseful",
OGN-078a,OGN-078,OGN-078-2,Showcase,,"Lee Sin, Ascetic",
OGN-079a,OGN-079,OGN-079-2,Showcase,,"Leona, Zealot",
OGN-089a,OGN-089,OGN-089-2,Showcase,,Mind Rune,
OGN-089b,OGN-089,,Showcase,,Mind Rune,Nexus Night
OGN-112a,OGN-112,OGN-112-2,Showcase,,"Kai'Sa, Evolutionary",
OGN-117a,OGN-117,OGN-117-2,Showcase,,"Viktor, Innovator",
OGN-119a,OGN-119,OGN-119-2,Showcase,,"Ahri, Inquisitive",
OGN-121a,OGN-121,OGN-121-2,Showcase,,"Teemo, Strategist",
OGN-126a,OGN-126,OGN-126-2,Showcase,,Body Rune,
OGN-126b,OGN-126,,Showcase,,Body Rune,Nexus Night
OGN-151a,OGN-151,OGN-151-2,Showcase,,"Lee Sin, Centered",
OGN-158a,OGN-158,OGN-158-2,Showcase,,"Volibear, Imposing",
OGN-162a,OGN-162,OGN-162-2,Showcase,,"Miss Fortune, Captain",
OGN-164a,OGN-164,OGN-164-2,Showcase,,"Sett, Brawler",
OGN-166a,OGN-166,OGN-166-2,Showcase,,Chaos Rune,
OGN-166b,OGN-166,,Showcase,,Chaos Rune,Nexus Night
OGN-193a,OGN-193,OGN-193-2,Showcase,,"Miss Fortune, Buccaneer",
OGN-197a,OGN-197,OGN-197-2,Showcase,,"Teemo, Scout",
OGN-202a,OGN-202,OGN-202-2,Showcase,,"Jinx, Rebel",
OGN-205a,OGN-205,OGN-205-2,Showcase,,"Yasuo, Windrider",
OGN-214a,OGN-214,OGN-214-2,Showcase,,Order Rune,
OGN-214b,OGN-214,OGN-214-2,Showcase,,Order Rune,Nexus Night
OGN-238a,OGN-238,OGN-238-2,Showcase,,"Leona, Determined",
OGN-240a,OGN-240,OGN-240-2,Showcase,,"Sett, Kingpin",
OGN-243a,OGN-243,OGN-243-2,Showcase,,"Darius, Executioner",
OGN-246a,OGN-246,OGN-246-2,Showcase,,"Viktor, Leader",
OGN-299,OGN-247,OGN-247-2,Showcase,,"Kai'Sa, Daughter of the Void",
OGN-299*,OGN-247,OGN-247-3,Showcase,,"Kai'Sa, Daughter of the Void",
OGN-300,OGN-249,OGN-249-2,Showcase,,"Volibear, Relentless Storm",
OGN-300*,OGN-249,OGN-249-3,Showcase,,"Volibear, Relentless Storm",
OGN-301,OGN-251,OGN-251-2,Showcase,,"Jinx, Loose Cannon",
OGN-301*,OGN-251,OGN-251-3,Showcase,,"Jinx, Loose Cannon",
OGN-302,OGN-253,OGN-253-2,Showcase,,"Darius, Hand of Noxus",
OGN-302*,OGN-253,OGN-253-3,Showcase,,"Darius, Hand of Noxus",
OGN-303,OGN-255,OGN-255-2,Showcase,,"Ahri, Nine-Tailed Fox",
OGN-303*,OGN-255,OGN-255-3,Showcase,,"Ahri, Nine-Tailed Fox",
OGN-304,OGN-257,OGN-257-2,Showcase,,"Lee Sin, Blind Monk",
OGN-304*,OGN-257,OGN-257-3,Showcase,,"Lee Sin, Blind Monk",
OGN-305,OGN-259,OGN-259-2,Showcase,,"Yasuo, Unforgiven",
OGN-305*,OGN-259,OGN-259-3,Showcase,,"Yasuo, Unforgiven",
OGN-306,OGN-261,OGN-261-2,Showcase,,"Leona, Radiant Dawn",
OGN-306*,OGN-261,OGN-261-3,Showcase,,"Leona, Radiant Dawn",
OGN-307,OGN-263,OGN-263-2,Showcase,,"Teemo, Swift Scout",
OGN-307*,OGN-263,OGN-263-3,Showcase,,"Teemo, Swift Scout",
OGN-308,OGN-265,OGN-265-2,Showcase,,"Viktor, Herald of the Arcane",
OGN-308*,OGN-265,OGN-265-3,Showcase,,"Viktor, Herald of the Arcane",
OGN-309,OGN-267,OGN-267-2,Showcase,,"Miss Fortune, Bounty Hunter",
OGN-309*,OGN-267,OGN-267-3,Showcase,,"Miss Fortune, Bounty Hunter",
OGN-310,OGN-269,OGN-269-2,Showcase,,"Sett, the Boss",
OGN-310*,OGN-269,OGN-269-3,Showcase,,"Sett, the Boss",
ARC-001,OGN-036,ARC-001-1,Showcase,,"Vi, Destructive",
ARC-002,OGN-068,ARC-002-1,Showcase,,"Caitlyn, Patrolling",
ARC-003,OGN-111,ARC-003-1,Showcase,,"Heimerdinger, Inventor",
ARC-004,OGN-159,ARC-004-1,Showcase,,"Warwick, Hunter",
ARC-005,OGN-202,ARC-005-1,Showcase,,"Jinx, Rebel",
ARC-006,OGN-246,ARC-006-1,Showcase,,"Viktor, Leader",
SFD-020a,SFD-020,SFD-020-2,Showcase,,"Draven, Vanquisher",
SFD-026a,SFD-026,,Showcase,,"Rumble, Hotheaded",
SFD-028a,SFD-028,,Showcase,,"Lucian, Gunslinger",
SFD-029a,SFD-029,,Showcase,,"Rek'Sai, Breacher",
SFD-050a,SFD-050,,Showcase,,"Azir, Ascendant",
SFD-054a,SFD-054,,Showcase,,"Jax, Unmatched",
SFD-057a,SFD-057,,Showcase,,"Irelia, Fervent",
SFD-058a,SFD-058,,Showcase,,"Ornn, Blacksmith",
SFD-082a,SFD-082,,Showcase,,"Ezreal, Dashing",
SFD-085a,SFD-085,,Showcase,,"Ornn, Forge God",
SFD-088a,SFD-088,,Showcase,,"Renata Glasc, Mastermind",
SFD-089a,SFD-089,,Showcase,,"Rumble, Scrapper",
SFD-110a,SFD-110,,Showcase,,"Fiora, Peerless",
SFD-113a,SFD-113,SFD-113-2,Showcase,,"Lucian, Merciless",
SFD-119a,SFD-119,,Showcase,,"Jax, Unrelenting",
SFD-120a,SFD-120,,Showcase,,"Sivir, Ambitious",
SFD-141a,SFD-141,,Showcase,,"Irelia, Graceful",
SFD-143a,SFD-143,,Showcase,,"Sivir, Mercenary",
