ID,Base ID,TTS ID,Rarity,Altered Flavor Text,Base Card Name,Notes
OGN-007a,OGN-007,OGN-007-2,Showcase,,Fury Rune,Alt Art
OGN-007b,OGN-007,OGN-007-3,Showcase,,Fury Rune,Nexus Night
OGN-027a,OGN-027,OGN-027-2,Showcase,,"Darius, Trifarian",Alt Art
OGN-030a,OGN-030,OGN-030-2,Showcase,,"Jinx, Demolitionist",Alt Art
OGN-039a,OGN-039,OGN-039-2,Showcase,,"Kai'Sa, Survivor",Alt Art
OGN-041a,OGN-041,OGN-041-2,Showcase,,"Volibear, Furious",Alt Art
OGN-042a,OGN-042,OGN-042-2,Showcase,,Calm Rune,Alt Art
OGN-042b,OGN-042,OGN-042-3,Showcase,,Calm Rune,Nexus Night
OGN-066a,OGN-066,OGN-066-2,Showcase,,"Ahri, Alluring",Alt Art
OGN-076a,OGN-076,OGN-076-2,Showcase,,"Yasuo, Remorseful",Alt Art
OGN-078a,OGN-078,OGN-078-2,Showcase,,"Lee Sin, Ascetic",Alt Art
OGN-079a,OGN-079,OGN-079-2,Showcase,,"Leona, Zealot",Alt Art
OGN-089a,OGN-089,OGN-089-2,Showcase,,Mind Rune,Alt Art
OGN-089b,OGN-089,OGN-089-3,Showcase,,Mind Rune,Nexus Night
OGN-112a,OGN-112,OGN-112-2,Showcase,,"Kai'Sa, Evolutionary",Alt Art
OGN-117a,OGN-117,OGN-117-2,Showcase,,"Viktor, Innovator",Alt Art
OGN-119a,OGN-119,OGN-119-2,Showcase,,"Ahri, Inquisitive",Alt Art
OGN-121a,OGN-121,OGN-121-2,Showcase,,"Teemo, Strategist",Alt Art
OGN-126a,OGN-126,OGN-126-2,Showcase,,Body Rune,Alt Art
OGN-126b,OGN-126,OGN-126-3,Showcase,,Body Rune,Nexus Night
OGN-151a,OGN-151,OGN-151-2,Showcase,,"Lee Sin, Centered",Alt Art
OGN-158a,OGN-158,OGN-158-2,Showcase,,"Volibear, Imposing",Alt Art
OGN-162a,OGN-162,OGN-162-2,Showcase,,"Miss Fortune, Captain",Alt Art
OGN-164a,OGN-164,OGN-164-2,Showcase,,"Sett, Brawler",Alt Art
OGN-166a,OGN-166,OGN-166-2,Showcase,,Chaos Rune,Alt Art
OGN-166b,OGN-166,OGN-166-3,Showcase,,Chaos Rune,Nexus Night
OGN-193a,OGN-193,OGN-193-2,Showcase,,"Miss Fortune, Buccaneer",Alt Art
OGN-197a,OGN-197,OGN-197-2,Showcase,,"Teemo, Scout",Alt Art
OGN-202a,OGN-202,OGN-202-2,Showcase,,"Jinx, Rebel",Alt Art
OGN-205a,OGN-205,OGN-205-2,Showcase,,"Yasuo, Windrider",Alt Art
OGN-214a,OGN-214,OGN-214-2,Showcase,,Order Rune,Alt Art
OGN-214b,OGN-214,OGN-214-2,Showcase,,Order Rune,Nexus Night
OGN-238a,OGN-238,OGN-238-2,Showcase,,"Leona, Determined",Alt Art
OGN-240a,OGN-240,OGN-240-2,Showcase,,"Sett, Kingpin",Alt Art
OGN-243a,OGN-243,OGN-243-2,Showcase,,"Darius, Executioner",Alt Art
OGN-246a,OGN-246,OGN-246-2,Showcase,,"Viktor, Leader",Alt Art
OGN-299,OGN-247,OGN-247-2,Showcase,,"Kai'Sa, Daughter of the Void",Overnumbered
OGN-299*,OGN-247,OGN-247-3,Showcase,,"Kai'Sa, Daughter of the Void",ON Signed
OGN-300,OGN-249,OGN-249-2,Showcase,,"Volibear, Relentless Storm",Overnumbered
OGN-300*,OGN-249,OGN-249-3,Showcase,,"Volibear, Relentless Storm",ON Signed
OGN-301,OGN-251,OGN-251-2,Showcase,,"Jinx, Loose Cannon",Overnumbered
OGN-301*,OGN-251,OGN-251-3,Showcase,,"Jinx, Loose Cannon",ON Signed
OGN-302,OGN-253,OGN-253-2,Showcase,,"Darius, Hand of Noxus",Overnumbered
OGN-302*,OGN-253,OGN-253-3,Showcase,,"Darius, Hand of Noxus",ON Signed
OGN-303,OGN-255,OGN-255-2,Showcase,,"Ahri, Nine-Tailed Fox",Overnumbered
OGN-303*,OGN-255,OGN-255-3,Showcase,,"Ahri, Nine-Tailed Fox",ON Signed
OGN-304,OGN-257,OGN-257-2,Showcase,,"Lee Sin, Blind Monk",Overnumbered
OGN-304*,OGN-257,OGN-257-3,Showcase,,"Lee Sin, Blind Monk",ON Signed
OGN-305,OGN-259,OGN-259-2,Showcase,,"Yasuo, Unforgiven",Overnumbered
OGN-305*,OGN-259,OGN-259-3,Showcase,,"Yasuo, Unforgiven",ON Signed
OGN-306,OGN-261,OGN-261-2,Showcase,,"Leona, Radiant Dawn",Overnumbered
OGN-306*,OGN-261,OGN-261-3,Showcase,,"Leona, Radiant Dawn",ON Signed
OGN-307,OGN-263,OGN-263-2,Showcase,,"Teemo, Swift Scout",Overnumbered
OGN-307*,OGN-263,OGN-263-3,Showcase,,"Teemo, Swift Scout",ON Signed
OGN-308,OGN-265,OGN-265-2,Showcase,,"Viktor, Herald of the Arcane",Overnumbered
OGN-308*,OGN-265,OGN-265-3,Showcase,,"Viktor, Herald of the Arcane",ON Signed
OGN-309,OGN-267,OGN-267-2,Showcase,,"Miss Fortune, Bounty Hunter",Overnumbered
OGN-309*,OGN-267,OGN-267-3,Showcase,,"Miss Fortune, Bounty Hunter",ON Signed
OGN-310,OGN-269,OGN-269-2,Showcase,,"Sett, the Boss",Overnumbered
OGN-310*,OGN-269,OGN-269-3,Showcase,,"Sett, the Boss",ON Signed
