ID,Base ID,TTS ID,Rarity,Base Card Name,Notes,Alter Flavor?,Altered Flavor Text
T1A-001,VEN-084,VEN-084-3,Showcase,"Ambessa, The Wolf",Promo,TRUE,
T1A-002,SFD-176,SFD-176-2,Showcase,"Xin Zhao, Vigilant",Promo,TRUE,
T1A-003,UNL-171,UNL-171-2,Showcase,"Galio, Indefatigable",Promo,TRUE,
T1A-004,OGN-193,OGN-193-3,Showcase,"Miss Fortune, Buccaneer",Promo,TRUE,
T1A-005,RAD-138,RAD-138-3,Showcase,"Seraphine, Not Alone",Promo,TRUE,
T1S-001,VEN-084,VEN-084-4,Showcase,"Ambessa, The Wolf",Promo,TRUE,"""I believe this is only the prologue of my story.""
—Doran"
T1S-002,SFD-176,SFD-176-2,Showcase,"Xin Zhao, Vigilant",Promo,TRUE,"""Relax, I will carry you to victory.""
—Oner"
T1S-003,UNL-171,UNL-171-2,Showcase,"Galio, Indefatigable",Promo,TRUE,"""I have watched the rise and fall of many teams, but the player who stood at the end was always me."" —Faker"
T1S-004,OGN-193,OGN-193-3,Showcase,"Miss Fortune, Buccaneer",Promo,TRUE,"""Now I can say it out loud: I am the best AD carry in the world."" —Gumayusi"
T1S-005,RAD-138,RAD-138-4,Showcase,"Seraphine, Not Alone",Promo,TRUE,"""Feel free to look up to me—just don't think it will be easy to follow."" —Keria"
T1S-001*,VEN-084,VEN-084-5,Showcase,"Ambessa, The Wolf",Promo Serialized,TRUE,"""I believe this is only the prologue of my story.""
—Doran"
T1S-002*,SFD-176,SFD-176-2,Showcase,"Xin Zhao, Vigilant",Promo Serialized,TRUE,"""Relax, I will carry you to victory.""
—Oner"
T1S-003*,UNL-171,UNL-171-2,Showcase,"Galio, Indefatigable",Promo Serialized,TRUE,"""I have watched the rise and fall of many teams, but the player who stood at the end was always me."" —Faker"
T1S-004*,OGN-193,OGN-193-3,Showcase,"Miss Fortune, Buccaneer",Promo Serialized,TRUE,"""Now I can say it out loud: I am the best AD carry in the world."" —Gumayusi"
T1S-005*,RAD-138,RAD-138-5,Showcase,"Seraphine, Not Alone",Promo Serialized,TRUE,"""Feel free to look up to me—just don't think it will be easy to follow."" —Keria"
